-3,1.44,2.01,2.3,0.27
-2,1.56,2.09,2.38,0.35
-1.3,1.64,2.14,2.44,0.42
-1,1.67,2.18,2.46,0.45
-0.698,1.7,2.21,2.49,0.48
-0.397,1.72,2.25,2.53,0.51
-0.154,1.75,2.29,2.56,0.54
0,1.77,2.32,2.58,0.55
0.698,1.86,2.58,2.76,0.63
0.845,1.88,2.66,2.81,0.65
1,1.92,2.75,2.87,0.66
