0.001,1.44,2.01,2.3,0.27
0.01,1.56,2.09,2.38,0.35
0.05,1.64,2.14,2.44,0.42
0.1,1.67,2.18,2.46,0.45
0.2,1.7,2.21,2.49,0.48
0.4,1.72,2.25,2.53,0.51
0.7,1.75,2.29,2.56,0.54
1,1.77,2.32,2.58,0.55
5,1.86,2.58,2.76,0.63
7,1.88,2.66,2.81,0.65
10,1.92,2.75,2.87,0.66
