0.0001,0.001,0.005,0.1,0.2,0.4,0.7,1,5,7,10
1.44,1.56,1.64,1.67,1.7,1.72,1.75,1.77,1.86,1.88,1.92
2.01,2.09,2.14,2.18,2.21,2.25,2.29,2.32,2.58,2.66,2.75
2.3,2.38,2.44,2.46,2.49,2.53,2.56,2.58,2.76,2.81,2.87
0.27,0.35,0.42,0.45,0.48,0.51,0.54,0.55,0.63,0.65,0.66
